0:0:0:0:0:0:0:1 - - [22/Aug/2016:10:15:02 +0900] "POST /sale_on/order/common/storeChkAjax.do HTTP/1.1" 200 582
0:0:0:0:0:0:0:1 - - [22/Aug/2016:10:15:03 +0900] "POST /sale_on/order/itemGridList.do?rcust_id=8100078 HTTP/1.1" 200 13918
0:0:0:0:0:0:0:1 - - [22/Aug/2016:10:15:03 +0900] "POST /sale_on/order/common/itemGbYnAjax.do HTTP/1.1" 200 985
0:0:0:0:0:0:0:1 - - [22/Aug/2016:10:16:13 +0900] "POST /sale_on/order/common/itemGbYnAjax.do HTTP/1.1" 200 984
0:0:0:0:0:0:0:1 - - [22/Aug/2016:10:16:13 +0900] "POST /sale_on/order/itemGridList.do HTTP/1.1" 200 70
0:0:0:0:0:0:0:1 - - [22/Aug/2016:10:16:15 +0900] "POST /sale_on/order/common/itemGbYnAjax.do HTTP/1.1" 200 987
0:0:0:0:0:0:0:1 - - [22/Aug/2016:10:16:15 +0900] "POST /sale_on/order/itemChkRegAjax.do HTTP/1.1" 200 988
0:0:0:0:0:0:0:1 - - [22/Aug/2016:10:16:20 +0900] "POST /sale_on/order/itemGridList.do HTTP/1.1" 200 70
0:0:0:0:0:0:0:1 - - [22/Aug/2016:10:16:26 +0900] "POST /sale_on/order/itemGridList.do HTTP/1.1" 200 70
0:0:0:0:0:0:0:1 - - [22/Aug/2016:10:16:26 +0900] "POST /sale_on/order/insertOrderAjax.do HTTP/1.1" 200 981
0:0:0:0:0:0:0:1 - - [22/Aug/2016:10:16:28 +0900] "POST /sale_on/order/itemGridList.do?rcust_id=8100078 HTTP/1.1" 200 13918
0:0:0:0:0:0:0:1 - - [22/Aug/2016:10:16:28 +0900] "POST /sale_on/order/common/itemGbYnAjax.do HTTP/1.1" 200 985
0:0:0:0:0:0:0:1 - - [22/Aug/2016:10:23:07 +0900] "POST /sale_on/order/masterGridList.do?ld_credit_limit_amt=25000000&ld_rem_dambo=6129600&credit_dambo=6129600&ls_limit_yn=&fr_date=2016-08-01&to_date=2016-08-22&rcust_id=&rcust_id_name=&sawon_info=%EA%B9%80%EA%B8%B8%EC%B2%9C++&tot_dambo=25%2C000%2C000&rem_dambo=6%2C129%2C600 HTTP/1.1" 200 1112
0:0:0:0:0:0:0:1 - - [22/Aug/2016:10:23:08 +0900] "POST /sale_on/order/detailGridList.do?ymd=20160822&gumae_no=201608220001 HTTP/1.1" 200 1154
0:0:0:0:0:0:0:1 - - [22/Aug/2016:10:23:21 +0900] "POST /sale_on/order/basDangaAjax.do HTTP/1.1" 200 980
0:0:0:0:0:0:0:1 - - [22/Aug/2016:10:23:21 +0900] "POST /sale_on/order/itemChkEditAjax.do HTTP/1.1" 200 988
0:0:0:0:0:0:0:1 - - [22/Aug/2016:10:23:21 +0900] "POST /sale_on/order/detailGridList.do HTTP/1.1" 200 70
0:0:0:0:0:0:0:1 - - [22/Aug/2016:10:23:21 +0900] "POST /sale_on/order/orderApprovalAjax.do HTTP/1.1" 200 981
0:0:0:0:0:0:0:1 - - [22/Aug/2016:10:23:21 +0900] "POST /sale_on/order/updateOrderAjax.do HTTP/1.1" 200 981
0:0:0:0:0:0:0:1 - - [22/Aug/2016:10:23:23 +0900] "POST /sale_on/order/masterGridList.do?ld_credit_limit_amt=25000000&ld_rem_dambo=6129600&credit_dambo=6129600&ls_limit_yn=N&fr_date=2016-08-01&to_date=2016-08-22&rcust_id=&rcust_id_name=&sawon_info=%EA%B9%80%EA%B8%B8%EC%B2%9C++&tot_dambo=25%2C000%2C000&rem_dambo=5%2C433%2C630&bigo= HTTP/1.1" 200 1112
0:0:0:0:0:0:0:1 - - [22/Aug/2016:10:23:23 +0900] "POST /sale_on/order/detailGridList.do?ymd=20160822&gumae_no=201608220001 HTTP/1.1" 200 1163
0:0:0:0:0:0:0:1 - - [22/Aug/2016:10:23:40 +0900] "POST /sale_on/order/detailGridList.do?gumae_no=25115 HTTP/1.1" 200 70
0:0:0:0:0:0:0:1 - - [22/Aug/2016:10:23:40 +0900] "POST /sale_on/order/masterGridList.do?ld_credit_limit_amt=25000000&ld_rem_dambo=6129600&credit_dambo=6129600&ls_limit_yn=N&fr_date=2016-08-01&to_date=2016-08-22&rcust_id=&rcust_id_name=&sawon_info=%EA%B9%80%EA%B8%B8%EC%B2%9C++&tot_dambo=25%2C000%2C000&rem_dambo=5%2C433%2C630&amend_qty= HTTP/1.1" 200 1112
0:0:0:0:0:0:0:1 - - [22/Aug/2016:10:23:40 +0900] "POST /sale_on/order/detailGridList.do?ymd=20160822&gumae_no=201608220001 HTTP/1.1" 200 1163
0:0:0:0:0:0:0:1 - - [22/Aug/2016:10:23:42 +0900] "POST /sale_on/order/detailGridList.do?gumae_no=25115 HTTP/1.1" 200 70
0:0:0:0:0:0:0:1 - - [22/Aug/2016:10:23:42 +0900] "POST /sale_on/order/masterGridList.do?ld_credit_limit_amt=25000000&ld_rem_dambo=6129600&credit_dambo=6129600&ls_limit_yn=N&fr_date=2016-08-01&to_date=2016-08-22&rcust_id=&rcust_id_name=&sawon_info=%EA%B9%80%EA%B8%B8%EC%B2%9C++&tot_dambo=25%2C000%2C000&rem_dambo=5%2C433%2C630&bigo=&amend_qty= HTTP/1.1" 200 1112
0:0:0:0:0:0:0:1 - - [22/Aug/2016:10:23:42 +0900] "POST /sale_on/order/detailGridList.do?ymd=20160822&gumae_no=201608220001 HTTP/1.1" 200 1163
0:0:0:0:0:0:0:1 - - [22/Aug/2016:10:23:47 +0900] "POST /sale_on/order/basDangaAjax.do HTTP/1.1" 200 980
0:0:0:0:0:0:0:1 - - [22/Aug/2016:10:23:47 +0900] "POST /sale_on/order/itemChkEditAjax.do HTTP/1.1" 200 988
0:0:0:0:0:0:0:1 - - [22/Aug/2016:10:23:47 +0900] "POST /sale_on/order/detailGridList.do HTTP/1.1" 200 70
0:0:0:0:0:0:0:1 - - [22/Aug/2016:10:23:47 +0900] "POST /sale_on/order/orderApprovalAjax.do HTTP/1.1" 200 981
0:0:0:0:0:0:0:1 - - [22/Aug/2016:10:23:47 +0900] "POST /sale_on/order/updateOrderAjax.do HTTP/1.1" 200 981
0:0:0:0:0:0:0:1 - - [22/Aug/2016:10:23:48 +0900] "POST /sale_on/order/masterGridList.do?ld_credit_limit_amt=25000000&ld_rem_dambo=6129600&credit_dambo=6129600&ls_limit_yn=N&fr_date=2016-08-01&to_date=2016-08-22&rcust_id=&rcust_id_name=&sawon_info=%EA%B9%80%EA%B8%B8%EC%B2%9C++&tot_dambo=25%2C000%2C000&rem_dambo=6%2C825%2C570&bigo= HTTP/1.1" 200 1112
0:0:0:0:0:0:0:1 - - [22/Aug/2016:10:23:48 +0900] "POST /sale_on/order/detailGridList.do?ymd=20160822&gumae_no=201608220001 HTTP/1.1" 200 1154
0:0:0:0:0:0:0:1 - - [22/Aug/2016:10:23:48 +0900] "POST /sale_on/order/detailGridList.do?ymd=20160822&gumae_no=201608220001 HTTP/1.1" 200 1154
0:0:0:0:0:0:0:1 - - [22/Aug/2016:10:23:51 +0900] "POST /sale_on/order/basDangaAjax.do HTTP/1.1" 200 980
0:0:0:0:0:0:0:1 - - [22/Aug/2016:10:23:51 +0900] "POST /sale_on/order/itemChkEditAjax.do HTTP/1.1" 200 988
0:0:0:0:0:0:0:1 - - [22/Aug/2016:10:23:51 +0900] "POST /sale_on/order/detailGridList.do HTTP/1.1" 200 70
0:0:0:0:0:0:0:1 - - [22/Aug/2016:10:23:55 +0900] "POST /sale_on/order/detailGridList.do?gumae_no=25115 HTTP/1.1" 200 70
0:0:0:0:0:0:0:1 - - [22/Aug/2016:10:23:55 +0900] "POST /sale_on/order/masterGridList.do?ld_credit_limit_amt=25000000&ld_rem_dambo=6129600&credit_dambo=6129600&ls_limit_yn=N&fr_date=2016-08-01&to_date=2016-08-22&rcust_id=&rcust_id_name=&sawon_info=%EA%B9%80%EA%B8%B8%EC%B2%9C++&tot_dambo=25%2C000%2C000&rem_dambo=5%2C433%2C630&amend_qty=10 HTTP/1.1" 200 1112
0:0:0:0:0:0:0:1 - - [22/Aug/2016:10:23:55 +0900] "POST /sale_on/order/detailGridList.do?ymd=20160822&gumae_no=201608220001 HTTP/1.1" 200 1154
0:0:0:0:0:0:0:1 - - [22/Aug/2016:10:24:00 +0900] "POST /sale_on/order/basDangaAjax.do HTTP/1.1" 200 980
